 Procedimentos hospitalares do SUS - por local de internação - Paraná
Internações por Município e Ano/mês atendimento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0802010199 DIÁRIA DE PERMANÊNCIA A MAIOR
Período:Mar/2019-Mar/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"410045 Altamira do Paraná";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"410060 Alto Paraná";-;-;-;-;-;-;-;-;-;-;1;2;3;6
"410050 Altônia";-;-;-;-;-;-;-;-;-;-;1;6;16;23
"410080 Alvorada do Sul";-;-;-;-;-;-;-;-;-;-;-;-;3;3
"410100 Ampére";-;-;-;-;2;3;6;6;6;6;16;19;32;96
"410110 Andirá";-;-;-;-;-;-;-;-;-;-;-;-;6;6
"410140 Apucarana";-;12;27;29;69;69;60;38;51;92;67;4;-;518
"410150 Arapongas";-;7;26;43;118;85;60;14;19;115;139;161;172;959
"410170 Araruna";-;-;-;5;4;10;6;2;1;8;12;-;-;48
"410180 Araucária";-;-;-;1;4;-;1;-;5;10;1;4;22;48
"410190 Assaí";-;-;-;-;-;-;-;-;-;-;-;1;8;9
"410200 Assis Chateaubriand";-;7;29;58;41;32;35;31;33;68;76;95;59;564
"410210 Astorga";-;-;-;-;-;-;-;-;-;-;-;-;76;76
"410240 Bandeirantes";-;-;-;-;-;-;-;-;2;7;13;10;39;71
"410250 Barbosa Ferraz";-;-;-;2;3;9;4;-;1;4;14;4;13;54
"410290 Bituruna";-;-;-;1;1;-;-;-;-;-;3;2;7;14
"410305 Boa Vista da Aparecida";-;-;-;1;-;1;1;2;2;3;3;4;-;17
"410360 Cambará";-;-;2;6;2;3;4;2;-;2;-;-;-;21
"410370 Cambé";-;-;-;-;-;-;-;-;-;-;-;6;-;6
"410390 Campina da Lagoa";-;-;-;1;-;-;2;-;6;3;8;13;22;55
"410400 Campina Grande do Sul";-;6;15;30;39;44;41;20;60;92;39;52;187;625
"410420 Campo Largo";11;139;213;468;794;738;621;583;837;1037;872;801;987;8101
"410430 Campo Mourão";2;3;10;25;50;60;27;17;35;51;31;8;21;340
"410450 Capanema";-;-;1;-;9;2;-;-;1;7;8;12;25;65
"410460 Capitão Leônidas Marques";-;-;1;1;2;1;2;-;4;4;7;3;-;25
"410480 Cascavel";-;7;48;125;166;88;122;96;105;206;197;153;68;1381
"410490 Castro";-;-;-;3;2;2;-;-;-;-;-;7;35;49
"410510 Centenário do Sul";-;-;-;-;-;-;-;-;-;-;-;-;5;5
"410520 Cerro Azul";-;-;-;-;-;11;8;1;2;18;12;27;-;79
"410530 Céu Azul";-;-;-;1;1;-;2;-;2;5;6;15;25;57
"410540 Chopinzinho";-;-;-;-;12;70;52;48;85;109;64;80;72;592
"410550 Cianorte";-;-;10;41;24;16;6;3;24;57;37;47;45;310
"410560 Cidade Gaúcha";-;-;-;-;5;-;-;-;-;-;-;-;13;18
"410570 Clevelândia";-;-;1;20;26;29;13;1;5;24;14;22;26;181
"410590 Colorado";-;3;17;41;46;39;23;15;45;78;54;115;116;592
"410620 Contenda";-;-;-;1;-;-;-;-;1;3;4;1;-;10
"410630 Corbélia";-;-;-;-;-;-;-;-;-;1;-;-;32;33
"410640 Cornélio Procópio";-;-;2;1;-;2;4;-;1;3;7;-;-;20
"410650 Coronel Vivida";-;-;-;-;-;-;-;-;-;-;-;21;35;56
"410680 Cruz Machado";-;-;-;-;1;1;-;1;1;2;2;2;8;18
"410670 Cruzeiro do Sul";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"410690 Curitiba";2;50;154;720;1372;1172;841;584;1202;1515;1070;950;914;10546
"410715 Diamante D'Oeste";-;-;-;1;1;-;1;1;2;-;4;4;-;14
"410720 Dois Vizinhos";-;-;-;3;17;78;33;2;30;30;17;20;-;230
"410750 Engenheiro Beltrão";-;-;-;-;3;2;4;-;2;4;4;4;16;39
"410765 Fazenda Rio Grande";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"410775 Figueira";-;-;-;-;-;-;-;-;-;-;4;12;14;30
"410820 Formosa do Oeste";-;-;-;-;3;3;1;-;-;1;-;-;-;8
"410830 Foz do Iguaçu";1;5;15;93;109;84;88;69;150;119;-;-;-;733
"410840 Francisco Beltrão";-;2;11;24;35;47;31;25;48;68;56;95;125;567
"410860 Goioerê";-;3;6;14;48;33;25;23;65;65;1;-;-;283
"410880 Guaíra";-;-;-;-;2;3;3;5;2;7;21;17;37;97
"410930 Guaraniaçu";-;-;4;4;9;6;2;-;5;20;9;5;13;77
"410940 Guarapuava";-;3;5;19;33;50;32;28;116;134;122;89;53;684
"410970 Ibaiti";-;-;-;3;3;1;7;4;5;11;15;8;6;63
"410975 Ibema";-;-;-;1;1;-;1;1;1;-;2;5;7;19
"411030 Inajá";-;-;-;1;-;-;-;-;-;-;-;1;-;2
"411040 Indianópolis";-;-;-;1;8;7;-;-;9;9;3;2;5;44
"411060 Iporã";-;-;-;-;-;-;-;-;-;-;2;2;-;4
"411070 Irati";-;-;1;-;7;13;8;7;25;24;26;18;31;160
"411100 Itambaracá";-;-;-;1;1;5;1;2;1;1;6;3;11;32
"411125 Itaperuçu";-;-;-;22;50;53;16;15;16;28;21;40;83;344
"411140 Ivaí";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"411150 Ivaiporã";-;1;2;4;37;17;30;16;12;22;29;25;9;204
"411170 Jaboti";-;-;-;2;1;-;-;-;1;-;1;-;1;6
"411180 Jacarezinho";-;-;-;11;6;12;10;4;27;19;31;16;-;136
"411190 Jaguapitã";-;-;-;-;-;-;-;-;-;-;-;-;7;7
"411200 Jaguariaíva";-;-;1;4;5;12;4;5;5;20;28;20;20;124
