 Procedimentos hospitalares do SUS - por local de internação - Paraná
Internações por Município e Ano/mês atendimento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0802010199 DIÁRIA DE PERMANÊNCIA A MAIOR
Período:Jan/2020-Jan/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"410045 Altamira do Paraná";-;-;-;-;-;2;-;1;-;-;-;3
"410060 Alto Paraná";-;-;-;-;-;-;-;-;-;-;1;1
"410100 Ampére";-;-;-;-;2;3;6;6;6;6;13;42
"410140 Apucarana";-;12;27;29;69;69;60;38;40;41;3;388
"410150 Arapongas";-;7;26;43;118;85;60;14;19;110;84;566
"410170 Araruna";-;-;-;5;4;10;6;2;1;1;-;29
"410180 Araucária";-;-;-;1;4;-;1;-;5;10;1;22
"410200 Assis Chateaubriand";-;7;29;58;41;32;35;31;33;67;36;369
"410240 Bandeirantes";-;-;-;-;-;-;-;-;2;7;10;19
"410250 Barbosa Ferraz";-;-;-;2;3;9;4;-;1;4;12;35
"410290 Bituruna";-;-;-;1;1;-;-;-;-;-;1;3
"410305 Boa Vista da Aparecida";-;-;-;1;-;1;1;2;2;2;-;9
"410360 Cambará";-;-;2;6;2;3;4;2;-;-;-;19
"410390 Campina da Lagoa";-;-;-;1;-;-;2;-;6;3;5;17
"410400 Campina Grande do Sul";-;6;15;30;39;44;41;19;60;86;12;352
"410420 Campo Largo";11;139;213;468;794;738;621;583;834;1018;624;6043
"410430 Campo Mourão";2;3;10;25;50;60;27;15;7;9;-;208
"410450 Capanema";-;-;1;-;9;2;-;-;1;7;4;24
"410460 Capitão Leônidas Marques";-;-;1;1;2;1;2;-;3;3;-;13
"410480 Cascavel";-;7;48;125;166;88;122;96;102;153;53;960
"410490 Castro";-;-;-;3;2;2;-;-;-;-;-;7
"410520 Cerro Azul";-;-;-;-;-;11;8;1;2;18;1;41
"410530 Céu Azul";-;-;-;1;1;-;2;-;2;4;1;11
"410540 Chopinzinho";-;-;-;-;12;70;52;48;85;109;48;424
"410550 Cianorte";-;-;10;41;24;16;6;3;24;57;29;210
"410560 Cidade Gaúcha";-;-;-;-;5;-;-;-;-;-;-;5
"410570 Clevelândia";-;-;1;20;26;29;13;1;5;24;2;121
"410590 Colorado";-;3;17;41;46;39;23;15;45;68;35;332
"410620 Contenda";-;-;-;1;-;-;-;-;1;-;-;2
"410630 Corbélia";-;-;-;-;-;-;-;-;-;1;-;1
"410640 Cornélio Procópio";-;-;2;1;-;2;4;-;1;-;-;10
"410680 Cruz Machado";-;-;-;-;1;1;-;1;1;2;-;6
"410690 Curitiba";2;50;154;719;1369;1172;839;573;1057;1099;330;7364
"410715 Diamante D'Oeste";-;-;-;1;1;-;1;1;2;-;2;8
"410720 Dois Vizinhos";-;-;-;3;17;78;33;2;30;26;15;204
"410750 Engenheiro Beltrão";-;-;-;-;3;2;4;-;2;4;4;19
"410775 Figueira";-;-;-;-;-;-;-;-;-;-;3;3
"410820 Formosa do Oeste";-;-;-;-;3;3;1;-;-;-;-;7
"410830 Foz do Iguaçu";1;5;15;93;109;83;87;49;3;-;-;445
"410840 Francisco Beltrão";-;2;11;24;35;47;31;25;48;65;22;310
"410860 Goioerê";-;3;6;14;48;33;25;20;7;2;-;158
"410880 Guaíra";-;-;-;-;2;3;3;5;2;7;18;40
"410930 Guaraniaçu";-;-;4;4;9;6;2;-;5;7;-;37
"410940 Guarapuava";-;3;5;19;33;50;32;28;111;80;19;380
"410970 Ibaiti";-;-;-;3;3;1;7;4;5;10;5;38
"410975 Ibema";-;-;-;1;1;-;1;1;1;-;2;7
"411030 Inajá";-;-;-;1;-;-;-;-;-;-;-;1
"411040 Indianópolis";-;-;-;1;8;7;-;-;9;8;3;36
"411070 Irati";-;-;1;-;7;13;8;7;25;24;14;99
"411100 Itambaracá";-;-;-;1;1;5;1;2;1;1;4;16
"411125 Itaperuçu";-;-;-;22;50;53;16;15;16;28;20;220
"411150 Ivaiporã";-;1;2;4;37;17;30;16;12;19;2;140
"411170 Jaboti";-;-;-;2;1;-;-;-;1;-;-;4
"411180 Jacarezinho";-;-;-;11;6;12;10;4;26;17;-;86
"411200 Jaguariaíva";-;-;1;4;5;12;3;5;4;12;9;55
"411240 Japurá";-;1;-;-;2;1;-;-;2;-;3;9
"411275 Jesuítas";-;-;1;6;9;2;-;-;2;-;-;20
"411280 Joaquim Távora";-;-;-;1;1;-;2;1;-;-;1;6
"411300 Jussara";-;-;-;-;-;-;-;-;-;-;1;1
"411330 Laranjeiras do Sul";-;-;1;11;13;23;12;16;42;47;6;171
"411345 Lindoeste";-;-;-;-;1;-;1;2;-;-;-;4
"411350 Loanda";-;-;-;1;7;8;5;3;22;27;14;87
"411370 Londrina";-;18;51;177;191;282;303;168;130;51;-;1371
"411390 Mallet";-;-;-;-;2;1;-;-;1;1;3;8
"411430 Mandirituba";-;-;-;-;15;3;4;3;1;5;1;32
"411440 Mangueirinha";-;-;1;-;2;3;-;2;3;16;4;31
"411520 Maringá";-;15;45;132;231;290;213;182;191;114;57;1470
"411560 Matelândia";-;-;-;8;12;2;2;2;-;-;-;26
"411580 Medianeira";-;-;3;22;30;8;15;34;19;32;5;168
"411670 Nova Aurora";-;-;-;-;-;1;4;2;8;35;21;71
"411680 Nova Cantu";-;-;-;1;-;-;-;-;-;1;-;2
"411690 Nova Esperança";-;-;-;1;1;1;-;-;-;1;-;4
"411695 Nova Esperança do Sudoeste";-;-;-;-;-;1;-;-;-;-;-;1
"411710 Nova Londrina";-;-;-;1;3;10;4;1;2;6;1;28
"411722 Nova Santa Rosa";-;-;-;-;2;1;6;4;2;2;-;17
"411727 Nova Tebas";-;-;-;-;-;-;-;-;-;1;-;1
"411760 Palmas";-;-;1;5;3;8;13;6;13;4;-;53
"411770 Palmeira";-;-;1;1;2;2;4;2;1;1;1;15
"411790 Palotina";-;-;1;-;13;7;6;2;2;11;13;55
"411800 Paraíso do Norte";-;-;-;-;-;-;-;-;-;1;-;1
"411820 Paranaguá";-;1;7;29;55;19;44;28;31;3;-;217
"411840 Paranavaí";-;35;28;19;24;25;22;8;36;58;13;268
"411850 Pato Branco";1;1;1;16;27;28;11;12;19;40;22;178
"411910 Piên";-;-;-;-;2;3;-;2;1;2;4;14
"411920 Pinhalão";-;-;-;-;-;-;-;-;-;-;3;3
"411960 Pitanga";-;-;-;-;2;1;-;2;-;-;-;5
"411970 Planaltina do Paraná";-;-;-;-;1;-;-;-;-;2;-;3
"411980 Planalto";-;-;-;-;-;1;-;-;-;-;1;2
"411990 Ponta Grossa";-;22;21;63;126;140;145;151;167;234;204;1273
"412035 Pranchita";-;-;-;1;5;5;3;-;2;6;6;28
"412090 Quedas do Iguaçu";-;-;-;-;3;5;1;2;3;17;11;42
"412100 Querência do Norte";-;-;-;-;-;1;-;4;1;4;-;10
"412120 Quitandinha";-;-;-;-;12;8;3;2;9;8;1;43
"412180 Ribeirão Claro";-;-;-;-;-;-;-;-;1;3;1;5
"412220 Rio Branco do Sul";-;-;-;-;8;1;2;1;3;3;4;22
"412230 Rio Negro";-;-;-;-;1;-;8;5;16;15;2;47
"412250 Roncador";-;-;-;2;1;9;-;1;1;3;8;25
"412260 Rondon";-;-;-;2;1;2;2;-;8;16;4;35
"412290 Salto do Itararé";-;-;-;-;-;-;-;1;-;-;-;1
"412350 Santa Helena";-;-;-;1;2;1;3;2;10;20;-;39
"412370 Santa Isabel do Ivaí";-;-;-;-;-;-;-;-;1;3;9;13
"412380 Santa Izabel do Oeste";-;-;-;-;1;-;-;-;-;-;-;1
"412410 Santo Antônio da Platina";-;-;15;30;35;30;36;17;36;46;13;258
"412440 Santo Antônio do Sudoeste";-;-;-;1;1;-;2;1;-;13;8;26
"412460 São Carlos do Ivaí";-;-;-;-;-;-;-;-;-;1;2;3
"412490 São João do Caiuá";-;-;1;-;1;1;-;-;1;-;-;4
"412510 São João do Triunfo";-;-;-;-;-;-;-;-;-;-;1;1
"412535 São Jorge do Patrocínio";-;-;-;-;-;-;-;-;-;3;-;3
"412540 São José da Boa Vista";-;-;-;-;-;-;-;-;-;-;1;1
"412550 São José dos Pinhais";-;-;4;25;23;12;10;5;5;14;2;100
"412560 São Mateus do Sul";-;-;-;-;2;3;1;2;5;5;-;18
"412570 São Miguel do Iguaçu";-;-;-;-;5;-;2;1;1;1;-;10
"412625 Sarandi";-;3;7;32;30;22;22;11;12;50;2;191
"412700 Teixeira Soares";-;-;-;-;-;-;-;-;-;3;4;7
"412710 Telêmaco Borba";-;1;3;8;16;19;16;3;6;24;11;107
"412720 Terra Boa";-;-;1;6;8;7;5;-;2;-;-;29
"412730 Terra Rica";-;-;-;-;-;-;-;-;-;-;1;1
"412760 Tijucas do Sul";-;-;-;-;-;8;8;7;14;-;-;37
"412770 Toledo";-;-;10;27;21;18;32;19;36;29;-;192
"412780 Tomazina";-;-;-;-;-;-;-;-;-;3;-;3
"412785 Três Barras do Paraná";-;1;1;4;4;-;1;-;1;4;4;20
"412790 Tuneiras do Oeste";-;-;-;-;-;-;-;-;-;4;-;4
"412795 Tupãssi";-;-;1;2;-;-;-;-;-;-;3;6
"412800 Ubiratã";-;-;-;1;-;-;5;6;8;26;17;63
"412810 Umuarama";-;2;7;29;89;82;56;30;55;137;49;536
"412820 União da Vitória";-;-;3;7;13;11;7;3;20;26;6;96
"412855 Vera Cruz do Oeste";-;-;-;4;3;-;-;-;1;3;-;11
"412860 Verê";-;-;1;2;4;1;4;2;8;13;6;41
"412850 Wenceslau Braz";-;-;-;-;-;-;-;-;-;1;-;1
"Total";17;348;817;2509;4235;4031;3279;2393;3616;4418;2001;27664
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
