MUN_ATENDIMENTO;DATA_CONFIRMACAO_DIVULGACAO;CASO_CONFIRMADO_NO_DIA;OBITO
ABATIA;2020-05-08;1;0.0
ABATIA;2020-05-31;1;0.0
ABATIA;2020-06-05;4;0.0
ABATIA;2020-06-08;1;0.0
ABATIA;2020-06-11;1;0.0
ABATIA;2020-06-14;4;0.0
ABATIA;2020-06-16;1;0.0
ABATIA;2020-06-18;2;0.0
ABATIA;2020-06-21;1;0.0
ABATIA;2020-06-22;7;0.0
ABATIA;2020-06-23;4;0.0
ABATIA;2020-06-24;1;0.0
ABATIA;2020-06-28;2;0.0
ABATIA;2020-06-30;1;0.0
ABATIA;2020-07-01;4;0.0
ABATIA;2020-07-02;2;0.0
ABATIA;2020-07-03;2;0.0
ABATIA;2020-07-07;4;0.0
ABATIA;2020-07-08;1;0.0
ABATIA;2020-07-13;1;0.0
ABATIA;2020-07-15;1;0.0
ABATIA;2020-07-21;2;0.0
ABATIA;2020-08-22;1;0.0
ABATIA;2020-08-27;2;0.0
ABATIA;2020-08-29;1;0.0
ABATIA;2020-09-02;2;0.0
ABATIA;2020-09-11;1;0.0
ABATIA;2020-09-15;1;0.0
ABATIA;2020-09-19;2;0.0
ABATIA;2020-09-20;1;0.0
ABATIA;2020-09-23;4;0.0
ABATIA;2020-09-24;1;0.0
ABATIA;2020-09-25;4;0.0
ABATIA;2020-09-30;1;0.0
ABATIA;2020-10-07;2;0.0
ABATIA;2020-10-08;1;0.0
ABATIA;2020-10-16;1;0.0
ABATIA;2020-10-27;1;0.0
ABATIA;2020-10-28;1;0.0
ABATIA;2020-11-03;1;1.0
ABATIA;2020-11-07;1;0.0
ABATIA;2020-11-11;9;0.0
ABATIA;2020-11-30;1;0.0
ABATIA;2020-12-03;1;0.0
ABATIA;2020-12-07;4;0.0
ABATIA;2020-12-11;5;1.0
ABATIA;2020-12-22;3;0.0
ABATIA;2021-01-03;12;0.0
ABATIA;2021-01-04;1;0.0
ABATIA;2021-01-05;8;0.0
ABATIA;2021-01-06;1;0.0
ABATIA;2021-01-07;8;0.0
ABATIA;2021-01-08;9;1.0
ABATIA;2021-01-09;4;0.0
ABATIA;2021-01-12;13;0.0
ABATIA;2021-01-14;9;0.0
ABATIA;2021-01-15;17;0.0
ABATIA;2021-01-18;8;0.0
ABATIA;2021-01-20;15;0.0
ABATIA;2021-01-22;9;1.0
ABATIA;2021-01-26;12;0.0
ABATIA;2021-01-27;1;0.0
ABATIA;2021-01-29;7;0.0
ABATIA;2021-01-30;1;0.0
ABATIA;2021-01-31;2;0.0
ABATIA;2021-02-02;4;0.0
ABATIA;2021-02-03;2;0.0
ABATIA;2021-02-04;2;0.0
ABATIA;2021-02-05;1;0.0
ABATIA;2021-02-08;2;0.0
ABATIA;2021-02-11;3;0.0
ABATIA;2021-02-12;3;0.0
ABATIA;2021-02-16;8;0.0
ABATIA;2021-02-22;1;0.0
ABATIA;2021-02-23;3;0.0
ABATIA;2021-02-24;5;0.0
ABATIA;2021-02-26;1;0.0
ABATIA;2021-02-27;2;0.0
ABATIA;2021-03-01;2;0.0
ABATIA;2021-03-04;6;0.0
ABATIA;2021-03-06;2;0.0
ABATIA;2021-03-09;4;0.0
ACRE;2020-04-29;1;1.0
ADRIANOPOLIS;2020-06-11;2;0.0
ADRIANOPOLIS;2020-06-16;11;0.0
ADRIANOPOLIS;2020-06-18;1;0.0
ADRIANOPOLIS;2020-06-21;4;0.0
ADRIANOPOLIS;2020-06-25;1;0.0
ADRIANOPOLIS;2020-06-27;4;0.0
ADRIANOPOLIS;2020-06-28;3;0.0
ADRIANOPOLIS;2020-06-29;1;0.0
ADRIANOPOLIS;2020-06-30;3;0.0
ADRIANOPOLIS;2020-07-02;5;1.0
ADRIANOPOLIS;2020-07-03;2;0.0
ADRIANOPOLIS;2020-07-04;9;0.0
ADRIANOPOLIS;2020-07-06;3;0.0
ADRIANOPOLIS;2020-07-10;3;0.0
ADRIANOPOLIS;2020-07-11;3;0.0
ADRIANOPOLIS;2020-07-12;1;0.0
ADRIANOPOLIS;2020-07-13;5;0.0
ADRIANOPOLIS;2020-07-15;1;0.0
ADRIANOPOLIS;2020-07-16;10;0.0
ADRIANOPOLIS;2020-07-18;4;0.0
ADRIANOPOLIS;2020-07-20;6;0.0
ADRIANOPOLIS;2020-07-21;1;0.0
ADRIANOPOLIS;2020-07-22;3;0.0
ADRIANOPOLIS;2020-07-25;1;0.0
ADRIANOPOLIS;2020-07-29;14;0.0
ADRIANOPOLIS;2020-07-31;4;0.0
ADRIANOPOLIS;2020-08-01;10;0.0
ADRIANOPOLIS;2020-08-03;6;0.0
ADRIANOPOLIS;2020-08-04;5;0.0
ADRIANOPOLIS;2020-08-05;3;0.0
ADRIANOPOLIS;2020-08-06;6;0.0
ADRIANOPOLIS;2020-08-08;1;0.0
ADRIANOPOLIS;2020-08-09;1;0.0
ADRIANOPOLIS;2020-08-10;5;1.0
ADRIANOPOLIS;2020-08-11;1;0.0
ADRIANOPOLIS;2020-08-12;2;0.0
ADRIANOPOLIS;2020-08-13;7;0.0
ADRIANOPOLIS;2020-08-14;4;0.0
ADRIANOPOLIS;2020-08-16;1;0.0
ADRIANOPOLIS;2020-08-18;1;0.0
ADRIANOPOLIS;2020-08-20;2;0.0
ADRIANOPOLIS;2020-08-21;2;0.0
